Team,Player,#,Class,Pos,Height,Weight,Hometown,High School,Summary
North Carolina,Joel Berry,2,JR,G,Jun-00,195,"Apopka, FL",Lake Highland Prep,"14.7 Pts, 3.1 Reb, 3.6 Ast"
North Carolina,Tony Bradley,5,FR,F,10-Jun,240,"Bartow, FL",,"7.1 Pts, 5.1 Reb, 0.6 Ast"
North Carolina,Nate Britt,0,SR,G,1-Jun,170,"Upper Marlboro, MD",Oak Hill Academy (VA),"4.5 Pts, 1.8 Reb, 2.4 Ast"
North Carolina,Kanler Coker,13,SR,G,4-Jun,200,"Gainesville, GA",Flowery Branch HS,"0.4 Pts, 0.2 Reb, 0.0 Ast"
North Carolina,Isaiah Hicks,4,SR,F,8-Jun,230,"Oxford, NC",J.F. Webb,"11.8 Pts, 5.5 Reb, 1.4 Ast"
North Carolina,Justin Jackson,44,JR,F,8-Jun,193,"Tomball, TX",Home School Christian Youth Association,"18.3 Pts, 4.7 Reb, 2.8 Ast"
North Carolina,Luke Maye,32,SO,F,7-Jun,227,"Huntersville, NC",Hough HS,"5.5 Pts, 3.9 Reb, 1.2 Ast"
North Carolina,Kennedy Meeks,3,SR,F,9-Jun,290,"Charlotte, NC",West Charlotte HS,"12.5 Pts, 9.4 Reb, 1.0 Ast"
North Carolina,Theo Pinson,1,JR,F,6-Jun,195,"Greensboro, NC",Wesleyan Christian Academy,"6.1 Pts, 4.6 Reb, 3.7 Ast"
North Carolina,Brandon Robinson,14,FR,G,5-Jun,162,"Douglasville, GA",,"1.9 Pts, 1.2 Reb, 0.8 Ast"
North Carolina,Aaron Rohlman,25,JR,F,6-Jun,210,"Gastonia, NC",,"0.7 Reb, 0.1 Ast"
North Carolina,Shea Rush,11,FR,F,6-Jun,200,"Fairway, KS",,"0.7 Pts, 0.2 Reb"
North Carolina,Stilman White,30,SR,G,Jun-00,170,"Wilmington, NC",Hoggard HS,"1.4 Pts, 0.4 Reb, 0.2 Ast"
North Carolina,Kenny Williams,24,SO,G,3-Jun,166,"Midlothian, VA",Bird HS,"6.2 Pts, 3.3 Reb, 2.2 Ast"
North Carolina,Seventh Woods,21,FR,G,2-Jun,180,"Columbia, SC",,"1.5 Pts, 1.4 Reb, 1.2 Ast"
Florida State,Brandon Allen,40,JR,F,6-Jun,200,"Milton, FL",Milton HS,"3.0 Pts, 0.4 Reb, 0.3 Ast"
Florida State,Braian Angola-Rodas,11,JR,G,6-Jun,195,"Villanueva, Colombia",,"4.6 Pts, 1.6 Reb, 1.2 Ast"
Florida State,Dwayne Bacon,4,SO,G,7-Jun,210,"Lakeland, FL",,"17.2 Pts, 4.2 Reb, 1.7 Ast"
Florida State,Phil Cofer,0,JR,F,8-Jun,205,"Atlanta, GA",Whitewater HS,"2.9 Pts, 1.9 Reb, 0.2 Ast"
Florida State,Trent Forrest,3,FR,G,5-Jun,215,"Chipley, FL",,"4.9 Pts, 2.7 Reb, 1.6 Ast"
Florida State,Jonathan Isaac,1,FR,F,10-Jun,210,"Naples, FL",,"12.0 Pts, 7.8 Reb, 1.2 Ast"
Florida State,Mfiondu Kabengele,25,FR,F,9-Jun,235,"Ontario, Canada",,
Florida State,Chris Koumadje,21,SO,C,4-Jul,233,"N'djamena, Chad",,"3.4 Pts, 1.9 Reb, 0.1 Ast"
Florida State,Travis Light,20,FR,G,5-Jun,165,"Vienna, VA",,
Florida State,Terance Mann,14,SO,G,6-Jun,200,"Lowell, MA",Tilton School (NH),"8.4 Pts, 4.5 Reb, 1.7 Ast"
Florida State,Will Miles,33,FR,F,6-Jun,220,"Orlando, FL",,
Florida State,Michael Ojo,50,SR,C,1-Jul,292,"Lagos, Nigeria",Tennessee Temple HS,"4.9 Pts, 3.2 Reb, 0.2 Ast"
Florida State,Xavier Rathan-Mayes,22,JR,G,4-Jun,190,"Ontario, Canada",Huntington Prep (WV),"10.6 Pts, 3.2 Reb, 4.8 Ast"
Florida State,PJ Savoy,5,SO,G,4-Jun,200,"Las Vegas, NV",,"5.5 Pts, 0.8 Reb, 0.2 Ast"
Florida State,Jarquez Smith,23,SR,F,9-Jun,225,"Haddock, GA",Jones County HS,"4.4 Pts, 2.8 Reb, 0.5 Ast"
Florida State,CJ Walker,2,FR,G,1-Jun,195,"Indianapolis, IN",,"4.9 Pts, 1.4 Reb, 1.3 Ast"
Louisville,Deng Adel,22,SO,F,7-Jun,190,"Melbourne, Australia",Victoria Rock Prep HS,"12.1 Pts, 4.5 Reb, 2.1 Ast"
Louisville,Jay Henderson,11,SO,G,5-Jun,180,"Orlando, FL",Lake Highland Prep (FL),"0.9 Pts, 0.2 Reb, 0.2 Ast"
Louisville,Tony Hicks,1,SR,G,2-Jun,180,"South Holland, IL",St. Rita HS,"3.7 Pts, 1.0 Reb, 0.8 Ast"
Louisville,Jaylen Johnson,10,JR,F,9-Jun,215,"Ypsilanti, MI",Ypsilanti HS,"8.0 Pts, 5.8 Reb, 0.5 Ast"
Louisville,V.J. King,0,FR,F,6-Jun,190,"Cleveland, OH",,"5.5 Pts, 2.1 Reb, 0.5 Ast"
Louisville,David Levitch,23,SR,G,3-Jun,180,"Goshen, KY",North Oldham HS,"1.8 Pts, 1.2 Reb, 0.9 Ast"
Louisville,Anas Mahmoud,14,JR,F,Jul-00,200,"Cairo, Egypt",West Oaks Academy,"5.7 Pts, 4.0 Reb, 0.8 Ast"
Louisville,Mangok Mathiang,12,SR,F,10-Jun,220,"Melbourne, Australia",IMG Academy (FL),"7.8 Pts, 6.0 Reb, 0.7 Ast"
Louisville,Ryan McMahon,30,FR,G,Jun-00,165,"Sarasota, FL",Cardinal Mooney HS,"2.5 Pts, 0.5 Reb, 0.6 Ast"
Louisville,Donovan Mitchell,45,SO,G,3-Jun,210,"Greenwich, CT",Brewster Academy (NH),"15.6 Pts, 4.9 Reb, 2.7 Ast"
Louisville,Tyler Sharpe,15,FR,G,1-Jun,185,"Mount Washington, KY",,"0.3 Pts, 0.4 Reb, 0.1 Ast"
Louisville,Quentin Snider,4,JR,G,2-Jun,180,"Louisville, KY",Ballard HS,"12.4 Pts, 2.7 Reb, 4.1 Ast"
Louisville,Raymond Spalding,13,SO,F,10-Jun,210,"Louisville, KY",Trinity HS,"5.9 Pts, 5.5 Reb, 0.8 Ast"
Louisville,Matz Stockman,5,JR,C,Jul-00,240,"Oslo, Norway",Canaria Basketball Academy,"1.7 Pts, 1.2 Reb, 0.2 Ast"
Louisville,Dwayne Sutton,24,SO,F,5-Jun,200,"Louisville, KY",DuPont Manual HS,
Notre Dame,V.J. Beachem,3,SR,F,8-Jun,200,"Fort Wayne, IN",New Haven HS,"14.5 Pts, 4.1 Reb, 0.9 Ast"
Notre Dame,Elijah Burns,12,SO,F,9-Jun,232,"Troy, NY",,"0.8 Pts, 0.8 Reb, 0.1 Ast"
Notre Dame,Bonzie Colson,35,JR,F,5-Jun,226,"New Bedford, MA",St. Andrew's (RI),"17.8 Pts, 10.1 Reb, 1.6 Ast"
Notre Dame,Nikola Djogo,13,FR,G,7-Jun,203,"Ontario, Canada",,
Notre Dame,Matt Farrell,5,JR,G,Jun-00,173,"Bridgewater, NJ",Point Pleasant Beach HS,"14.1 Pts, 2.0 Reb, 5.4 Ast"
Notre Dame,Martinas Geben,23,JR,F,9-Jun,255,"Vilnius, Lithuania",St. Maria Goretti HS,"3.1 Pts, 3.4 Reb, 0.7 Ast"
Notre Dame,Temple Gibbs,2,FR,G,3-Jun,200,"Scotch Plains, NJ",,"4.7 Pts, 1.5 Reb, 1.7 Ast"
Notre Dame,Matt Gregory,21,JR,F,6-Jun,190,"Avon, IN",Cathedral HS,
Notre Dame,Patrick Mazza,34,SR,F,10-Jun,255,"Glen Ellyn, IL",,"0.5 Pts, 0.2 Reb"
Notre Dame,John Mooney,33,FR,F,9-Jun,245,"Orlando, FL",,"1.2 Pts, 1.6 Reb, 0.2 Ast"
Notre Dame,Rex Pflueger,0,SO,G,6-Jun,193,"Dana Point, CA",Mater Dei HS,"4.7 Pts, 2.7 Reb, 1.5 Ast"
Notre Dame,Matt Ryan,4,SO,F,8-Jun,217,"Cortlandt Manor, NY",Iona Prep (NY),"3.6 Pts, 0.9 Reb, 0.4 Ast"
Notre Dame,Austin Torres,1,SR,F,7-Jun,228,"Granger, IN",Penn HS,"1.3 Pts, 1.4 Reb, 0.2 Ast"
Notre Dame,Steve Vasturia,32,SR,G,5-Jun,211,"Medford, NJ",St. Joseph's Prep,"13.1 Pts, 3.9 Reb, 3.3 Ast"
Duke,Grayson Allen,3,JR,G,4-Jun,195,"Jacksonville, FL",Providence,"14.5 Pts, 3.7 Reb, 3.5 Ast"
Duke,Brennan Besser,53,SO,G,5-Jun,180,"Chicago, IL",Latin School,
Duke,Marques Bolden,20,FR,C,11-Jun,245,"Desoto, TX",,"1.5 Pts, 1.1 Reb, 0.1 Ast"
Duke,Javin DeLaurier,12,FR,F,10-Jun,220,"Shipman, VA",,"1.6 Pts, 1.9 Reb, 0.1 Ast"
Duke,Harry Giles,1,FR,F,10-Jun,240,"Winston-salem, NC",,"3.9 Pts, 3.8 Reb, 0.3 Ast"
Duke,Frank Jackson,15,FR,G,3-Jun,205,"Alpine, UT",,"10.9 Pts, 2.5 Reb, 1.7 Ast"
Duke,Amile Jefferson,21,SR,F,9-Jun,215,"Philadelphia, PA",Friends Central School,"10.9 Pts, 8.4 Reb, 1.5 Ast"
Duke,Chase Jeter,2,SO,F,10-Jun,240,"Las Vegas, NV",Bishop Gorman HS,"2.6 Pts, 2.7 Reb, 0.4 Ast"
Duke,Matt Jones,13,SR,G,5-Jun,210,"Desoto, TX",DeSoto HS,"7.0 Pts, 2.8 Reb, 1.9 Ast"
