Team,Rk,Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
North Carolina,1,Justin Jackson,40,32,6.6,14.9,0.443,4,7.8,0.51,2.6,7.1,0.37,2.5,3.3,0.748,4.7,2.8,0.8,0.2,1.7,1.4,18.3
North Carolina,2,Joel Berry,38,30.4,4.8,11.2,0.428,2.5,5.2,0.48,2.3,6,0.384,2.8,3.6,0.774,3.1,3.6,1.4,0.1,1.9,2.2,14.7
North Carolina,3,Kennedy Meeks,40,24.3,5.2,9.3,0.554,5.2,9.3,0.555,0,0,0,2.2,3.6,0.622,9.5,1,1,1.2,1.2,2.4,12.5
North Carolina,4,Isaiah Hicks,39,23.3,4.5,7.8,0.574,4.5,7.8,0.574,0,0,,2.9,3.7,0.779,5.5,1.4,0.4,0.7,1.6,3.1,11.8
North Carolina,5,Tony Bradley,38,14.6,2.7,4.7,0.573,2.7,4.7,0.573,0,0,,1.7,2.8,0.619,5.1,0.6,0.3,0.6,0.7,1.8,7.1
North Carolina,6,Kenny Williams,26,23.7,2.2,5.3,0.417,1.2,2.3,0.525,1,3.1,0.338,0.7,1.2,0.633,3.3,2.2,0.9,0.3,1.2,1.5,6.2
North Carolina,7,Theo Pinson,21,23.8,2,5.4,0.381,1.6,3.6,0.453,0.4,1.8,0.237,1.6,2.2,0.702,4.6,3.7,0.9,0.2,1.5,1.8,6.1
North Carolina,8,Luke Maye,35,14.1,2.2,4.7,0.479,1.8,3.5,0.504,0.5,1.1,0.4,0.6,1.1,0.579,3.9,1.2,0.4,0.2,0.9,1.8,5.5
North Carolina,9,Nate Britt,40,19,1.6,4.5,0.354,1,2.6,0.369,0.7,2,0.333,0.7,0.9,0.73,1.8,2.4,1,0.1,0.9,1.8,4.5
North Carolina,10,Brandon Robinson,36,7.8,0.6,1.8,0.344,0.4,0.9,0.441,0.2,0.8,0.233,0.5,0.8,0.655,1.2,0.8,0.3,0.1,0.4,0.9,1.9
North Carolina,11,Seventh Woods,40,7.7,0.4,1.5,0.283,0.4,1.2,0.306,0.1,0.3,0.182,0.6,1,0.61,1.4,1.2,0.5,0.1,1.1,0.7,1.5
North Carolina,12,Stilman White,27,3.6,0.4,0.7,0.5,0.3,0.6,0.5,0.1,0.1,0.5,0.6,0.7,0.889,0.4,0.2,0.1,0,0.1,0.3,1.4
North Carolina,13,Shea Rush,20,1.7,0.2,0.7,0.286,0.2,0.6,0.273,0.1,0.2,0.333,0.3,0.5,0.5,0.2,0,0.1,0.1,0.1,0.2,0.7
North Carolina,14,Kanler Coker,21,1.4,0.1,0.2,0.5,0.1,0.2,0.5,0,0,,0.2,0.2,1,0.2,0,0,0,0,0.3,0.4
North Carolina,15,Aaron Rohlman,20,1.7,0,0.1,0,0,0.1,0,0,0,,0,0,,0.7,0.1,0.1,0,0.1,0.1,0
Florida State,1,Dwayne Bacon,35,28.8,6.3,14,0.452,4.7,9.1,0.516,1.6,4.9,0.333,3,3.9,0.754,4.2,1.7,1,0.1,2,1.6,17.2
Florida State,2,Jonathan Isaac,32,26.2,4.1,8,0.508,3.1,5.2,0.593,1,2.8,0.348,2.9,3.7,0.78,7.8,1.2,1.2,1.5,1.5,2.2,12
Florida State,3,Xavier Rathan-Mayes,35,27.7,3.8,8.5,0.453,2.7,4.9,0.547,1.1,3.5,0.323,1.8,3.3,0.53,3.2,4.8,0.9,0.1,1.9,2,10.6
Florida State,4,Terance Mann,35,25,3.3,5.7,0.576,3.1,5,0.611,0.2,0.7,0.304,1.7,2.5,0.663,4.5,1.7,1,0.2,1.2,2.3,8.4
Florida State,5,PJ Savoy,28,8.1,1.7,4.1,0.412,0.3,0.5,0.5,1.4,3.6,0.4,0.8,1.1,0.7,0.8,0.3,0.4,0,0.3,0.5,5.5
Florida State,6,Trent Forrest,35,15.4,1.7,3.7,0.473,1.7,3.5,0.496,0,0.2,0.125,1.4,2,0.676,2.7,1.6,1.2,0.1,1,1.1,4.9
Florida State,7,Michael Ojo,35,12.2,1.6,2.9,0.564,1.6,2.9,0.564,0,0,,1.7,2.1,0.806,3.2,0.2,0.3,0.9,0.8,2,4.9
Florida State,8,CJ Walker,33,12.5,1.6,4.1,0.397,1.1,2.4,0.463,0.5,1.7,0.304,1.1,1.7,0.655,1.4,1.3,0.6,0.1,0.8,1.7,4.9
Florida State,9,Braian Angola-Rodas,34,11.8,1.5,3.4,0.452,0.9,1.9,0.477,0.6,1.5,0.42,0.9,1.2,0.78,1.6,1.2,0.4,0.1,0.5,1.2,4.6
Florida State,10,Jarquez Smith,35,13.1,1.7,3.3,0.522,1.6,3,0.543,0.1,0.3,0.3,0.9,1.3,0.652,2.8,0.5,0.2,0.9,0.7,2.4,4.4
Florida State,11,Chris Koumadje,35,10.1,1.5,2.3,0.654,1.5,2.3,0.663,0,0,0,0.3,0.7,0.48,1.9,0.1,0.2,1.1,0.5,1.7,3.4
Florida State,12,Brandon Allen,14,6.2,1.1,2.3,0.469,0.4,0.6,0.556,0.7,1.6,0.435,0.1,0.1,1,0.4,0.3,0.1,0.1,0.2,0.7,3
Florida State,13,Phil Cofer,32,12.5,1.2,2.6,0.452,1,2.1,0.471,0.2,0.5,0.375,0.4,0.6,0.6,1.9,0.2,0.1,0.1,0.8,1,2.9
Louisville,1,Donovan Mitchell,34,32.3,5.3,13.1,0.408,3,6.4,0.463,2.4,6.6,0.354,2.6,3.2,0.806,4.9,2.7,2.1,0.5,1.6,2.6,15.6
