Team,Rk,Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
North Carolina,1,Justin Jackson,40,1281,264,596,0.443,159,312,0.51,105,284,0.37,98,131,0.748,58,128,186,113,31,9,69,55,731
North Carolina,2,Joel Berry,38,1155,182,425,0.428,94,196,0.48,88,229,0.384,106,137,0.774,16,102,118,138,53,5,71,84,558
North Carolina,3,Kennedy Meeks,40,973,206,372,0.554,206,371,0.555,0,1,0,89,143,0.622,152,226,378,41,38,47,48,94,501
North Carolina,4,Isaiah Hicks,39,907,174,303,0.574,174,303,0.574,0,0,,113,145,0.779,72,141,213,55,16,29,64,119,461
North Carolina,5,Tony Bradley,38,553,102,178,0.573,102,178,0.573,0,0,,65,105,0.619,98,97,195,23,10,22,25,69,269
North Carolina,6,Luke Maye,35,495,78,163,0.479,62,123,0.504,16,40,0.4,22,38,0.579,58,80,138,41,15,7,30,63,194
North Carolina,7,Nate Britt,40,759,64,181,0.354,38,103,0.369,26,78,0.333,27,37,0.73,11,62,73,94,41,2,37,71,181
North Carolina,8,Kenny Williams,26,617,58,139,0.417,31,59,0.525,27,80,0.338,19,30,0.633,34,52,86,56,23,8,30,40,162
North Carolina,9,Theo Pinson,21,500,43,113,0.381,34,75,0.453,9,38,0.237,33,47,0.702,28,69,97,77,18,4,31,37,128
North Carolina,10,Brandon Robinson,36,281,22,64,0.344,15,34,0.441,7,30,0.233,19,29,0.655,11,32,43,28,10,3,14,31,70
North Carolina,11,Seventh Woods,40,309,17,60,0.283,15,49,0.306,2,11,0.182,25,41,0.61,6,49,55,49,21,2,42,28,61
North Carolina,12,Stilman White,27,98,10,20,0.5,8,16,0.5,2,4,0.5,16,18,0.889,5,6,11,5,3,0,3,9,38
North Carolina,13,Shea Rush,20,34,4,14,0.286,3,11,0.273,1,3,0.333,5,10,0.5,1,3,4,0,2,1,2,4,14
North Carolina,14,Kanler Coker,21,29,2,4,0.5,2,4,0.5,0,0,,5,5,1,2,2,4,1,1,0,1,6,9
North Carolina,15,Aaron Rohlman,20,34,0,1,0,0,1,0,0,0,,0,0,,1,12,13,1,1,0,1,1,0
Florida State,1,Dwayne Bacon,35,1008,221,489,0.452,164,318,0.516,57,171,0.333,104,138,0.754,35,112,147,61,35,4,71,55,603
Florida State,2,Jonathan Isaac,32,839,130,256,0.508,99,167,0.593,31,89,0.348,92,118,0.78,56,195,251,37,37,49,48,70,383
Florida State,3,Xavier Rathan-Mayes,35,969,134,296,0.453,94,172,0.547,40,124,0.323,62,117,0.53,22,90,112,168,33,4,65,70,370
Florida State,4,Terance Mann,35,876,114,198,0.576,107,175,0.611,7,23,0.304,59,89,0.663,65,94,159,58,35,6,42,82,294
Florida State,5,Michael Ojo,35,426,57,101,0.564,57,101,0.564,0,0,,58,72,0.806,55,57,112,7,10,30,27,71,172
Florida State,6,Trent Forrest,35,538,61,129,0.473,60,121,0.496,1,8,0.125,48,71,0.676,31,63,94,55,43,5,35,40,171
Florida State,7,CJ Walker,33,414,54,136,0.397,37,80,0.463,17,56,0.304,36,55,0.655,13,33,46,44,20,2,25,55,161
Florida State,8,Braian Angola-Rodas,34,402,52,115,0.452,31,65,0.477,21,50,0.42,32,41,0.78,11,44,55,42,15,4,18,40,157
Florida State,9,PJ Savoy,28,227,47,114,0.412,7,14,0.5,40,100,0.4,21,30,0.7,4,19,23,7,10,1,9,15,155
Florida State,10,Jarquez Smith,35,460,60,115,0.522,57,105,0.543,3,10,0.3,30,46,0.652,34,65,99,17,8,30,25,84,153
Florida State,11,Chris Koumadje,35,355,53,81,0.654,53,80,0.663,0,1,0,12,25,0.48,19,46,65,4,7,40,17,60,118
Florida State,12,Phil Cofer,32,399,38,84,0.452,32,68,0.471,6,16,0.375,12,20,0.6,21,41,62,7,4,3,25,32,94
Florida State,13,Brandon Allen,14,87,15,32,0.469,5,9,0.556,10,23,0.435,2,2,1,1,5,6,4,2,2,3,10,42
Louisville,1,Donovan Mitchell,34,1098,181,444,0.408,101,218,0.463,80,226,0.354,87,108,0.806,37,128,165,93,70,17,56,88,529
Louisville,2,Deng Adel,33,993,141,333,0.423,97,207,0.469,44,126,0.349,74,96,0.771,23,124,147,70,20,12,45,61,400
Louisville,3,Quentin Snider,28,877,116,301,0.385,60,151,0.397,56,150,0.373,59,82,0.72,22,53,75,115,17,0,42,43,347
Louisville,4,Jaylen Johnson,34,696,106,180,0.589,102,173,0.59,4,7,0.571,55,88,0.625,91,105,196,18,16,17,44,82,271
Louisville,5,Mangok Mathiang,33,686,104,196,0.531,104,196,0.531,0,0,,51,76,0.671,85,113,198,24,17,37,38,82,259
Louisville,6,Raymond Spalding,34,653,79,134,0.59,79,131,0.603,0,3,0,42,77,0.545,65,123,188,27,22,29,43,88,200
Louisville,7,V.J. King,33,444,60,139,0.432,44,101,0.436,16,38,0.421,46,56,0.821,17,51,68,16,7,3,22,25,182
Louisville,8,Anas Mahmoud,31,580,76,122,0.623,76,122,0.623,0,0,,24,52,0.462,47,77,124,26,27,65,35,82,176
Louisville,9,Tony Hicks,23,231,32,81,0.395,27,61,0.443,5,20,0.25,17,27,0.63,2,22,24,19,10,1,21,16,86
Louisville,10,Ryan McMahon,28,176,20,60,0.333,1,8,0.125,19,52,0.365,12,14,0.857,2,12,14,17,6,2,10,30,71
Louisville,11,David Levitch,32,296,20,54,0.37,7,20,0.35,13,34,0.382,6,13,0.462,11,27,38,29,10,0,7,32,59
Louisville,12,Matz Stockman,18,74,11,17,0.647,11,17,0.647,0,0,,9,15,0.6,12,9,21,3,2,3,7,16,31
Louisville,13,Jay Henderson,17,35,5,16,0.313,4,8,0.5,1,8,0.125,4,4,1,0,3,3,3,3,0,1,6,15
Louisville,14,Tyler Sharpe,7,11,1,8,0.125,1,2,0.5,0,6,0,0,0,,1,2,3,1,0,0,1,1,2
Notre Dame,1,Bonzie Colson,36,1156,236,449,0.526,210,389,0.54,26,60,0.433,141,180,0.783,104,258,362,56,40,50,44,81,639
Notre Dame,2,V.J. Beachem,36,1230,187,443,0.422,100,202,0.495,87,241,0.361,61,73,0.836,23,123,146,31,33,38,40,46,522
Notre Dame,3,Matt Farrell,36,1238,172,384,0.448,91,191,0.476,81,193,0.42,81,102,0.794,9,63,72,196,51,5,91,71,506
Notre Dame,4,Steve Vasturia,36,1244,162,374,0.433,104,212,0.491,58,162,0.358,91,100,0.91,25,116,141,119,43,4,58,75,473
Notre Dame,5,Temple Gibbs,36,539,51,136,0.375,34,83,0.41,17,53,0.321,49,59,0.831,12,41,53,62,26,2,28,49,168
Notre Dame,6,Rex Pflueger,35,751,59,133,0.444,32,65,0.492,27,68,0.397,19,29,0.655,18,78,96,53,31,12,24,60,164
Notre Dame,7,Matt Ryan,36,286,43,99,0.434,7,16,0.438,36,83,0.434,9,10,0.9,6,26,32,14,6,1,13,29,131
Notre Dame,8,Martinas Geben,34,421,42,65,0.646,42,65,0.646,0,0,,23,30,0.767,42,73,115,25,13,11,22,66,107
Notre Dame,9,Austin Torres,36,261,21,38,0.553,21,38,0.553,0,0,,6,18,0.333,23,29,52,7,9,8,9,46,48
Notre Dame,10,John Mooney,12,46,5,8,0.625,3,4,0.75,2,4,0.5,2,2,1,6,13,19,2,1,1,1,5,14
Notre Dame,11,Elijah Burns,11,44,1,4,0.25,1,3,0.333,0,1,0,7,8,0.875,5,4,9,1,2,1,2,5,9
Notre Dame,12,Patrick Mazza,4,4,1,2,0.5,1,2,0.5,0,0,,0,0,,0,1,1,0,0,1,1,0,2
Notre Dame,13,Matt Gregory,5,6,0,4,0,0,0,,0,4,0,0,0,,0,0,0,0,0,0,0,0,0
Duke,1,Luke Kennard,37,1314,237,484,0.49,149,283,0.527,88,201,0.438,160,187,0.856,43,145,188,91,31,13,59,83,722
Duke,2,Grayson Allen,34,1007,141,356,0.396,60,134,0.448,81,222,0.365,129,159,0.811,23,104,127,119,26,2,74,78,492
Duke,3,Jayson Tatum,29,966,165,365,0.452,125,248,0.504,40,117,0.342,118,139,0.849,39,174,213,62,39,33,76,86,488
Duke,4,Frank Jackson,36,895,133,281,0.473,82,151,0.543,51,130,0.392,77,102,0.755,23,68,91,61,21,2,49,85,394
Duke,5,Amile Jefferson,35,1039,146,238,0.613,146,238,0.613,0,0,,90,143,0.629,84,209,293,53,24,65,49,93,382
Duke,6,Matt Jones,37,1216,95,239,0.397,45,93,0.484,50,146,0.342,19,26,0.731,37,67,104,72,62,6,41,86,259
Duke,7,Harry Giles,26,300,45,78,0.577,45,78,0.577,0,0,,12,24,0.5,41,59,100,9,9,17,18,58,102
Duke,8,Chase Jeter,16,238,13,26,0.5,13,26,0.5,0,0,,15,27,0.556,18,25,43,6,7,17,17,31,41
Duke,9,Marques Bolden,24,157,16,35,0.457,16,35,0.457,0,0,,5,8,0.625,14,12,26,2,2,7,11,32,37
Duke,10,Antonio Vrankovic,13,101,13,19,0.684,13,19,0.684,0,0,,7,11,0.636,16,18,34,5,0,4,7,16,33
Duke,11,Jack White,10,61,6,9,0.667,5,7,0.714,1,2,0.5,8,10,0.8,2,11,13,1,1,2,4,5,21
Duke,12,Javin DeLaurier,12,86,9,11,0.818,9,10,0.9,0,1,0,1,4,0.25,8,15,23,1,4,4,8,21,19
Duke,13,Justin Robinson,6,10,0,0,,0,0,,0,0,,1,2,0.5,0,1,1,0,0,0,0,0,1
Duke,14,Brennan Besser,1,2,0,1,0,0,0,,0,1,0,0,0,,0,0,0,0,0,0,0,1,0
Duke,15,Nick Pagliuca,5,8,0,2,0,0,0,,0,2,0,0,0,,0,0,0,2,0,0,0,0,0
Virginia,1,London Perrantes,34,1093,146,353,0.414,81,179,0.453,65,174,0.374,74,91,0.813,11,91,102,128,25,2,58,33,431
Virginia,2,Marial Shayok,34,702,121,272,0.445,102,214,0.477,19,58,0.328,43,54,0.796,12,70,82,33,30,10,36,46,304
Virginia,3,Devon Hall,34,931,100,245,0.408,68,159,0.428,32,86,0.372,52,67,0.776,22,127,149,65,18,4,35,65,284
Virginia,4,Kyle Guy,34,634,90,205,0.439,39,102,0.382,51,103,0.495,25,35,0.714,5,52,57,45,13,1,21,37,256
Virginia,5,Isaiah Wilkins,33,874,90,162,0.556,86,155,0.555,4,7,0.571,40,57,0.702,78,120,198,37,33,43,34,61,224
Virginia,6,Darius Thompson,33,686,76,171,0.444,50,97,0.515,26,74,0.351,26,43,0.605,6,48,54,73,28,12,33,33,204
Virginia,7,Ty Jerome,34,473,52,110,0.473,23,37,0.622,29,73,0.397,14,18,0.778,1,54,55,50,15,2,30,59,147
Virginia,8,Jack Salt,34,627,52,93,0.559,52,93,0.559,0,0,,22,45,0.489,53,84,137,13,11,22,21,88,126
Virginia,9,Jarred Reuter,32,344,52,89,0.584,52,89,0.584,0,0,,19,25,0.76,26,43,69,20,7,2,27,44,123
Virginia,10,Mamadi Diakite,32,449,50,92,0.543,47,81,0.58,3,11,0.273,18,33,0.545,28,54,82,6,8,39,13,75,121
Virginia,11,Austin Nichols,1,16,4,7,0.571,4,6,0.667,0,1,0,3,3,1,0,3,3,0,0,0,0,3,11
Virginia,12,Justice Bartley,10,27,4,9,0.444,3,4,0.75,1,5,0.2,0,2,0,0,7,7,1,0,1,5,5,9
Virginia,13,Trevon Gross Jr.,11,26,1,12,0.083,0,4,0,1,8,0.125,0,1,0,3,2,5,2,2,0,4,4,3
Virginia,14,Jeff Jones,5,18,1,3,0.333,0,1,0,1,2,0.5,0,0,,1,2,3,0,0,0,2,3,3
