Team,First_name,Last_name,GP,GS,MPG,USG_P,OFF_RTG,DEF_RTG,TS_P,EFG_P,FT_RATE,3FG_TEND,OFF_REB_P,DEF_REB_P,REB_P,AST_P,STL_P,BLK_P,TO_P
North Carolina,"1 Rush, Shea F",f,20,0,1.7,29.5,83.1,92.1,0.389,0.321,85.7,21.4,3.2,9.8,6,0.000,0.051,0.034,0.094
North Carolina,"2 Jackson, Justin F",f,40,39,32,25.8,119,101.9,0.559,0.531,22,47.7,4.8,10.8,7.1,0.158,0.014,0.008,0.094
North Carolina,"3 Meeks, Kennedy F",f,40,40,24.3,22.6,122.7,92,0.577,0.555,38.5,0,16.5,25.1,19.1,0.076,0.022,0.054,0.100
North Carolina,"4 Berry II, Joel G",f,38,37,30.4,22.1,117.9,99.7,0.573,0.529,32.1,53.9,1.5,9.5,5,0.197,0.026,0.005,0.129
North Carolina,"5 Hicks, Isaiah F",f,39,39,23.3,21.6,121.1,98.6,0.63,0.576,48,0,8.4,16.8,11.5,0.106,0.010,0.036,0.149
North Carolina,"6 Bradley, Tony F",f,38,0,14.6,20.5,128,97.4,0.6,0.573,59,0,18.6,18.9,17.3,0.071,0.010,0.044,0.100
North Carolina,"7 Maye, Luke F",f,35,1,14.2,19.3,114.3,98,0.54,0.528,23.3,24.5,12.3,17.4,13.6,0.136,0.017,0.016,0.143
North Carolina,"8 Woods, Seventh G",f,40,0,7.7,17.7,74.4,93.9,0.391,0.3,68.3,18.3,2.1,17.1,8.7,0.224,0.038,0.007,0.350
North Carolina,"9 Pinson, Theo G-F",f,21,13,23.8,15,108.5,98.8,0.479,0.42,41.6,33.6,5.9,14.9,9.5,0.227,0.020,0.009,0.188
North Carolina,"10 Robinson, Brandon G",f,37,0,7.6,14.6,102.8,99.9,0.455,0.398,42.2,46.9,4.1,12.3,7.5,0.145,0.018,0.012,0.156
North Carolina,"11 White, Stilman G",f,27,1,3.6,14.6,143,102.9,0.681,0.55,90,20,5.4,6.7,5.6,0.078,0.017,0.000,0.097
North Carolina,"12 Britt, Nate G",f,40,7,19,14.1,103.5,99,0.459,0.425,20.4,43.1,1.5,8.8,4.7,0.182,0.030,0.003,0.158
North Carolina,"13 Williams, Kenny G",f,26,22,23.7,13.5,112.6,100.5,0.532,0.514,21.6,57.6,5.8,9.1,6.9,0.135,0.021,0.014,0.165
North Carolina,"14 Coker, Kanler G",f,21,1,1.3,11.7,146.7,101.4,0.726,0.5,125,0,7.5,7.7,7,0.052,0.020,0.000,0.139
North Carolina,"15 Rohlman, Aaron F",f,20,0,1.7,2.8,-,91.1,0,0,0,0,3.2,39.3,19.4,0.040,0.017,0.000,0.500
