Rank,Team,Conf,W,L,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_R,Luck,Luck_R,AdjEM,AdjEM_R,OppO,OppO_R,OppD,OppD_R,AdjEM,AdjEM_R
2,Villanova,BE,32,4,29.88,122.4,3,92.5,12,64,323,0.01,166,9.33,33,109.8,38,100.4,32,3.55,60
3,North Carolina,ACC,33,7,28.22,120.7,9,92.5,11,71.2,41,0.037,85,12.49,6,112,4,99.5,19,3.87,53
4,Kentucky,SEC,32,6,27.72,119.1,12,91.4,7,71.9,26,0.006,175,10.98,19,110.4,24,99.5,15,3.74,56
5,Florida,SEC,27,9,27.5,116.9,24,89.4,5,68.9,116,-0.041,286,12.46,7,110.2,28,97.7,2,8.19,15
9,Louisville,ACC,25,9,25.51,117.2,22,91.7,8,67.9,195,-0.023,244,11.14,17,111.6,7,100.4,33,4.2,48
10,Oregon,P12,33,6,25.02,118.2,17,93.2,17,67,231,0.034,88,8.05,50,109.2,48,101.1,51,0.51,137
12,Virginia,ACC,23,11,24.29,112.2,50,87.9,2,59.1,351,-0.03,258,11.68,10,111.4,8,99.7,22,2.29,82
14,Duke,ACC,28,9,24.17,121,6,96.9,47,68.2,175,0.014,150,11.43,12,111,13,99.5,21,0.03,153
16,UCLA,P12,31,5,23.63,124,2,100.4,84,72.5,20,0.021,132,5.18,74,107.9,67,102.7,89,-4.66,291
18,Arizona,P12,32,5,23.31,118.4,16,95.1,28,66,276,0.046,66,7.13,59,108.6,56,101.5,60,1.69,108
19,Purdue,B10,27,8,23.12,116.9,25,93.8,23,69.1,111,0.016,142,9,38,109.6,39,100.6,42,-2.37,224
20,Michigan,B10,26,12,23.05,122.3,4,99.3,70,63,338,-0.025,252,10.76,23,110.3,26,99.5,18,-0.53,170
21,Wisconsin,B10,27,10,22.99,115.1,33,92.1,9,63.4,334,-0.003,193,10,29,110.5,21,100.5,38,-1.29,194
24,South Carolina,SEC,26,11,20.81,108.9,91,88.1,3,68.6,147,-0.005,197,10.63,24,110.1,31,99.5,17,1.93,96
25,Butler,BE,25,9,20.76,117.7,20,97,49,65.8,278,0.002,185,10.81,22,110.8,16,99.9,25,5.13,40
26,Florida State,ACC,26,9,20.06,115.5,31,95.4,31,71.2,39,0.039,78,8.82,40,110.6,19,101.8,68,-3.95,272
27,Notre Dame,ACC,26,10,19.74,118.1,18,98.4,61,67,232,0.024,120,10.24,28,110,35,99.8,23,-3.84,270
28,Creighton,BE,25,10,18.83,115.3,32,96.5,46,71.1,45,0.004,181,8.97,39,110.2,27,101.3,58,-1.23,192
31,Xavier,BE,24,14,16.7,115.8,29,99.1,68,67.1,224,0.044,71,11.73,9,111.2,9,99.5,16,5.32,38
32,Marquette,BE,19,13,16.58,120.8,8,104.2,165,70,76,-0.058,311,9.03,37,109.1,50,100,27,-2.16,219
33,Vanderbilt,SEC,19,16,16.53,112.4,49,95.9,37,65.7,284,-0.048,292,11.43,13,110.1,33,98.7,7,6.3,32
35,Arkansas,SEC,26,10,16.25,116.1,28,99.8,76,69.7,89,0.086,9,8.37,45,108.5,59,100.2,28,-1.55,202
36,Wake Forest,ACC,19,14,16.25,120.9,7,104.6,176,70.6,58,-0.043,290,10.54,25,111.1,12,100.5,39,4.51,45
37,Minnesota,B10,24,10,16,109.7,77,93.7,22,69.4,98,0.022,127,8.09,49,108.9,52,100.8,45,-1.82,209
38,Northwestern,B10,24,12,15.82,111.3,59,95.5,32,65.5,292,0.019,135,8.32,46,108.9,51,100.6,43,-3.23,249
40,Michigan State,B10,20,15,15.51,111.4,58,95.9,38,66.8,242,-0.011,214,10.99,18,110.5,22,99.5,20,4.01,51
42,Miami (FL),ACC,21,12,15.03,109.9,76,94.8,25,63,339,0.031,98,9.39,32,110.6,18,101.3,57,-4.48,286
44,Indiana,B10,18,16,14.49,116.1,27,101.6,104,68.3,167,-0.09,341,9.11,36,109.6,41,100.4,34,-5.48,310
45,Clemson,ACC,17,16,14.46,114.9,35,100.5,86,66.3,262,-0.064,315,10.32,27,110.7,17,100.4,31,2.12,91
46,Maryland,B10,24,9,14.33,113.1,41,98.8,64,67.1,221,0.061,39,7.74,54,108.3,62,100.5,40,-1.1,188
47,Utah,P12,20,12,14.2,113.5,40,99.3,71,68.6,141,-0.099,342,3.36,85,106,88,102.6,83,-6.19,322
