Team,GP,PPG,PPG ALLOW,ORPG,DRPG,FGM/G,FGA/G,3FGM,3FGA,3FGM/G,3FGA/G,FTM/G,FTA/G,APG,SPG
Wake Forest,33,82.8,78.4,10.6,25.7,28,59.2,268,697,8.1,21.1,18.8,24.1,15.5,5.5
Virginia,34,66.1,56.4,8.7,24.2,24.7,53.6,232,602,6.8,17.7,9.9,13.9,13.9,5.6
Virginia Tech,33,79.1,74.7,7.3,25,26.9,54.9,290,720,8.8,21.8,16.5,22.5,15.1,4
Syracuse,34,76.3,71.1,10.7,24.1,26.3,57.3,300,788,8.8,23.2,14.9,20.2,15.6,8.1
Pittsburgh,33,72.8,74.7,9.5,25.6,24.5,55.3,263,729,8,22.1,16,21.8,14.3,3.8
Notre Dame,36,77.3,69.3,9.3,24.4,27.2,59.4,334,869,9.3,24.1,13.6,17,15.7,7.1
North Carolina State,32,77.6,79.6,10.3,26,27.8,59.3,226,635,7.1,19.8,15,21.5,14.3,5.1
North Carolina,40,84.4,70.6,15.8,28,30.7,65.8,283,798,7.1,20,16.1,22.9,18.1,7.1
Miami (FL),33,69,64.1,11,24.6,24.6,54.5,209,587,6.3,17.8,13.4,18.7,11.8,6.5
Louisville,34,77.3,66,13.4,26.1,28,61.4,238,671,7,19.7,14.3,20.8,13.6,6.7
Georgia Tech,37,67.5,66.8,9.6,26.3,24.6,56.2,171,516,4.6,13.9,13.6,20,15.4,6.6
Florida State,35,82.1,72.1,11.7,26.1,29.6,61.3,233,671,6.7,19.2,16.2,23.5,14.6,7.4
Duke,37,80.8,70.2,10.5,25.7,27.5,58,311,821,8.4,22.2,17.4,22.8,13.1,6.1
Clemson,33,74.8,71.5,11.1,23,26.4,58.8,239,669,7.2,20.3,14.8,20.2,12.5,7.1
Boston College,32,72.5,78.4,9.1,25.8,26.3,58.8,256,684,8,21.4,11.8,17.4,14.8,5.6
Xavier,38,74.6,71.3,11.9,25.4,25.8,56.5,267,775,7,20.4,16,23.2,14.7,6
Villanova,36,77.2,62.7,8.8,24.8,26.8,54.1,311,843,8.6,23.4,14.9,18.9,14,7.2
St. John's,33,76.8,78.7,10.2,24.2,26.2,60.6,278,763,8.4,23.1,15.9,21.9,13.5,6.8
Seton Hall,33,73.2,70.4,13.3,26.5,26.4,59,202,597,6.1,18.1,14.3,22.2,12.2,6.9
Providence,33,70.3,66.9,8.9,24.4,24.4,54.4,239,645,7.2,19.5,14.3,20.7,14.3,6.6
Marquette,32,82.2,75.6,8.8,24.3,28.7,59,336,783,10.5,24.5,14.3,18.3,16.4,7.2
Georgetown,32,74,72.2,9.5,26.1,25.3,54.8,206,590,6.4,18.4,17.1,23.3,15,5.5
DePaul,32,68.9,74.6,10.6,22.4,24.2,56.4,184,564,5.8,17.6,14.8,20.1,11.4,6.7
Creighton,35,81.8,72.8,8.3,26.7,30.8,61,304,767,8.7,21.9,11.5,16.9,17.1,6.1
Butler,34,76.3,68.9,8.4,23.6,26.6,55.8,261,714,7.7,21,15.4,20.7,13.3,6.1
Wisconsin,37,72.4,62.4,12.4,24.8,26.2,57.7,283,789,7.6,21.3,12.2,19,13.6,6.8
Rutgers,33,65.5,67.1,14.5,25.4,24.5,59.6,152,502,4.6,15.2,11.9,19.1,11,6.6
Purdue,35,79.7,68.4,9.8,27.9,28,58.4,315,782,9,22.3,14.7,19.4,18.3,5.2
Penn State,33,71.7,72.7,10,25.4,25,60.3,230,679,7,20.6,14.8,19.8,13.7,6.8
Ohio State,32,72.8,69.8,10.1,27.1,25.8,55.8,211,592,6.6,18.5,14.5,21.3,13.6,5.2
Northwestern,36,71.1,65.5,10.7,25.5,25.4,58.1,255,745,7.1,20.7,13.3,17.7,15,5.3
Nebraska,31,69.9,73,13.3,25,25.6,61.5,179,560,5.8,18.1,13,18.3,11.4,6.8
Minnesota,34,75.2,69.4,11.1,28.3,26.1,59.9,209,610,6.1,17.9,16.9,23.7,14.9,5.7
Michigan State,35,71.9,68.7,9.4,27.1,25.9,55.1,273,732,7.8,20.9,12.3,18.4,16.9,4.3
Michigan,38,75,66.4,7.4,21.9,26.4,54.6,361,937,9.5,24.7,12.8,16.4,13.9,5.8
Maryland,33,73.9,68.1,10.6,24.9,25.1,55.8,272,757,8.2,22.9,15.5,22.2,14.3,5.5
Iowa,34,80.5,78.1,12,26.4,28.4,62.4,300,791,8.8,23.3,15,21.8,17.7,7.4
Indiana,34,79.7,73.3,12.1,26.9,28.2,58.9,295,776,8.7,22.8,14.6,20.1,14.4,6.1
Illinois,35,71.7,69.1,9.8,25,25.7,57.7,270,731,7.7,20.9,12.6,18.4,13.5,5.6
Washington,31,76.4,81.1,12.9,24.4,28.2,62.9,226,639,7.3,20.6,12.7,19.4,13.2,6.1
Washington State,31,70.3,76.6,6.4,25.5,25.8,56.1,209,574,6.7,18.5,11.9,15.7,14.6,4.2
Utah,32,78.5,68.1,10,28,29.3,58,215,609,6.7,19,13.3,19.4,14.9,6.1
USC,36,78.2,73.1,10.8,24.9,27.1,59.4,283,782,7.9,21.7,16.2,21.9,15.3,7
UCLA,36,89.8,75.5,9.5,28.9,33.6,64.4,354,872,9.8,24.2,12.8,17.3,21.4,5.9
Stanford,31,69.7,71.1,10.2,24.2,24.9,56.5,157,490,5.1,15.8,14.9,21.8,13.6,6.8
Oregon State,32,63.2,72.5,9.1,23.5,22.5,52.7,203,586,6.3,18.3,11.8,17.8,11.9,5.5
Oregon,39,78.9,65.8,10.6,26.1,28,58.2,334,880,8.6,22.6,14.4,20.2,15.7,6.5
Colorado,34,75.5,72.2,11.9,25.6,26.1,58.6,250,718,7.4,21.1,15.9,22.6,13.9,5.1
California,34,68.1,63.4,11.6,27.3,23.7,56.2,226,664,6.6,19.5,14,21.2,12,4.9
Arizona State,33,78.6,81.7,9.2,23.4,26.9,62,328,896,9.9,27.2,14.8,19.8,13,5.9
Arizona,37,76.6,65.9,10.3,26.4,26.4,55.4,244,625,6.6,16.9,17.2,22.4,13.5,5.4
Vanderbilt,35,71.1,68.1,8.2,26.3,23.3,54.2,346,921,9.9,26.3,14.7,18.9,12.9,4.2
Texas A&M,31,70.2,67.8,12.9,25.7,25.9,56.6,189,574,6.1,18.5,12.2,18.8,15.8,6
Tennessee,32,74.5,73,12.1,25.6,25.1,59.5,189,579,5.9,18.1,18.4,25.2,13.8,5.5
South Carolina,37,73.2,65.2,12.5,23.8,24.9,59.4,248,735,6.7,19.9,16.5,23.6,12.6,7.8
Ole Miss,36,78,76.3,12.7,26.8,25.4,60,283,814,7.9,22.6,19.3,25.7,13,6.8
Missouri,32,69.2,72.9,11.2,25.3,23.3,59.2,225,739,7,23.1,15.6,22.9,12.1,6.3
Mississippi State,32,72.5,71.3,9.7,25.7,25.7,57.8,247,711,7.7,22.2,13.5,19.6,12.1,7.5
LSU,31,74.8,83,11.5,24.6,27.5,61.1,196,584,6.3,18.8,13.5,19.3,12.8,6
Kentucky,38,84.9,71.5,12.4,27.4,29.8,63.1,267,756,7,19.9,18.2,25.8,15.4,6
Georgia,34,71.6,70.4,9.7,27.3,24.6,56,175,538,5.1,15.8,17.3,22.9,12.6,5.4
Florida,36,77.9,66.5,11.6,25.5,26.5,58.9,278,776,7.7,21.6,17.2,23.6,12.5,7.5
Auburn,32,80.4,79.6,11.5,25.1,26.9,61.5,289,789,9,24.7,17.6,26.1,13.2,7.4
Arkansas,36,79.3,73.9,11.1,24.9,27.7,60.2,233,638,6.5,17.7,17.4,22.9,13.9,7.7
Alabama,34,68.5,64.7,12.3,26.7,23.8,56.2,225,710,6.6,20.9,14.3,21.9,11.5,5.9
