,First_name,Last_name,Team,Conference,GP,GS,MPG,USG_P,OFF_RTG,DEF_RTG,TS_P,EFG_P,FT_RATE,3FG_TEND,OFF_REB_P,DEF_REB_P,REB_P,AST_P,STL_P,BLK_P,TO_P
0,Michael,Young,PITT,ACC,33,31,33.2,30.9,112.6,109.0,0.562,0.49700000000000005,46.1,25.7,5.8,17.3,10.8,0.2,0.01,0.02,0.11
1,Jerome,Robinson,BC,ACC,32,32,34.0,30.6,97.8,107.4,0.52,0.47700000000000004,32.2,32.2,2.1,11.2,6.0,0.21,0.03,0.01,0.15
2,John,Collins,WAKE,ACC,33,33,26.6,29.7,128.7,104.7,0.6679999999999999,0.622,58.5,0.3,16.4,25.7,19.4,0.05,0.01,0.07,0.11
3,Dwayne,Bacon,FSU,ACC,35,35,28.8,29.4,108.3,103.1,0.5479999999999999,0.51,28.2,35.0,4.0,11.9,7.5,0.12,0.02,0.0,0.11
4,Tadric,Jackson,GT,ACC,36,5,23.8,28.8,95.8,101.4,0.514,0.499,27.4,32.5,1.8,8.3,4.8,0.18,0.02,0.01,0.12
5,Marial,Shayok,UVA,ACC,34,14,20.6,27.6,98.9,91.9,0.514,0.48,19.9,21.3,2.2,12.6,6.8,0.11,0.03,0.02,0.11
6,Ja'Quan,Newton,MIA,ACC,30,28,31.4,27.4,96.1,101.6,0.517,0.46799999999999997,40.1,12.0,2.3,10.8,6.0,0.24,0.02,0.0,0.2
7,Josh,Okogie,GT,ACC,37,37,30.8,27.3,106.5,96.1,0.5579999999999999,0.486,56.3,17.1,5.7,13.6,9.1,0.12,0.03,0.03,0.13
8,Jr.,Smith,NCST,ACC,32,32,34.8,27.0,110.8,108.7,0.5710000000000001,0.52,47.6,36.4,2.7,11.5,6.7,0.34,0.03,0.01,0.18
9,Jamel,Artis,PITT,ACC,32,31,34.3,27.0,113.2,112.8,0.603,0.564,38.3,45.8,4.4,11.8,7.6,0.23,0.01,0.01,0.15
10,Zach,LeDay,VT,ACC,33,5,29.4,26.7,121.0,104.8,0.625,0.5539999999999999,63.2,11.8,11.0,18.5,14.0,0.09,0.01,0.04,0.12
11,Taurean,Thompson,SYR,ACC,34,21,17.9,26.5,106.5,101.6,0.575,0.5529999999999999,31.9,6.7,9.2,14.8,11.0,0.07,0.02,0.07,0.14
12,Jayson,Tatum,DUKE,ACC,29,27,33.3,26.1,110.1,97.2,0.573,0.507,38.1,32.1,4.9,19.7,11.8,0.12,0.02,0.03,0.15
13,Bonzie,Colson,ND,ACC,36,36,32.1,25.9,125.1,96.8,0.605,0.555,40.1,13.4,10.6,25.4,16.8,0.1,0.02,0.05,0.08
14,Jaron,Blossomgame,CLEM,ACC,33,33,34.3,25.8,114.1,106.7,0.5670000000000001,0.526,38.1,21.3,5.9,15.5,9.8,0.1,0.01,0.03,0.1
15,Justin,Jackson,UNC,ACC,40,39,32.0,25.8,119.0,101.9,0.5589999999999999,0.531,22.0,47.7,4.8,10.8,7.1,0.16,0.01,0.01,0.09
16,Bryant,Crawford,WAKE,ACC,33,33,31.8,25.0,117.6,109.7,0.578,0.508,44.6,40.4,1.2,12.3,6.3,0.32,0.03,0.01,0.14
