,Team,First_name,Last_name,GP,GS,MPG,USG_P,OFF_RTG,DEF_RTG,TS_P,EFG_P,FT_RATE,3FG_TEND,OFF_REB_P,DEF_REB_P,REB_P,AST_P,STL_P,BLK_P,TO_P
0,North Carolina,Shea,Rush,20,0,1.7,29.5,83.1,92.1,0.389,0.321,85.7,21.4,3.2,9.8,6,0,0.051,0.034,0.094
1,North Carolina,Justin,Jackson,40,39,32,25.8,119,101.9,0.559,0.531,22,47.7,4.8,10.8,7.1,0.158,0.014,0.008,0.094
2,North Carolina,Kennedy,Meeks,40,40,24.3,22.6,122.7,92,0.577,0.555,38.5,0,16.5,25.1,19.1,0.076,0.022,0.054,0.1
3,North Carolina,Joel,Berry II,38,37,30.4,22.1,117.9,99.7,0.573,0.529,32.1,53.9,1.5,9.5,5,0.197,0.026,0.005,0.129
4,North Carolina,Isaiah,Hicks,39,39,23.3,21.6,121.1,98.6,0.63,0.576,48,0,8.4,16.8,11.5,0.106,0.01,0.036,0.149
5,North Carolina,Tony,Bradley,38,0,14.6,20.5,128,97.4,0.6,0.573,59,0,18.6,18.9,17.3,0.071,0.01,0.044,0.1
6,North Carolina,Luke,Maye,35,1,14.2,19.3,114.3,98,0.54,0.528,23.3,24.5,12.3,17.4,13.6,0.136,0.017,0.016,0.143
7,North Carolina,Seventh,Woods,40,0,7.7,17.7,74.4,93.9,0.391,0.3,68.3,18.3,2.1,17.1,8.7,0.224,0.038,0.007,0.35
8,North Carolina,Theo,Pinson,21,13,23.8,15,108.5,98.8,0.479,0.42,41.6,33.6,5.9,14.9,9.5,0.227,0.02,0.009,0.188
9,North Carolina,Brandon,Robinson,37,0,7.6,14.6,102.8,99.9,0.455,0.398,42.2,46.9,4.1,12.3,7.5,0.145,0.018,0.012,0.156
10,North Carolina,Stilman,White,27,1,3.6,14.6,143,102.9,0.681,0.55,90,20,5.4,6.7,5.6,0.078,0.017,0,0.097
11,North Carolina,Nate,Britt,40,7,19,14.1,103.5,99,0.459,0.425,20.4,43.1,1.5,8.8,4.7,0.182,0.03,0.003,0.158
12,North Carolina,Kenny,Williams,26,22,23.7,13.5,112.6,100.5,0.532,0.514,21.6,57.6,5.8,9.1,6.9,0.135,0.021,0.014,0.165
13,North Carolina,Kanler,Coker,21,1,1.3,11.7,146.7,101.4,0.726,0.5,125,0,7.5,7.7,7,0.052,0.02,0,0.139
14,North Carolina,Aaron,Rohlman,20,0,1.7,2.8,-,91.1,0,0,0,0,3.2,39.3,19.4,0.04,0.017,0,0.5
15,Florida State,Dwayne,Bacon,35,35,28.8,29.4,108.3,103.1,0.548,0.51,28.2,35,4,11.9,7.5,0.116,0.019,0.004,0.114
16,Florida State,PJ,Savoy,28,0,8.1,28.6,121.3,103.1,0.609,0.588,26.3,87.7,2,9,5.2,0.058,0.025,0.005,0.066
17,Florida State,CJ,Walker,33,0,12.5,21.4,104.8,102.4,0.502,0.46,40.4,41.2,3.6,8.6,5.7,0.174,0.027,0.005,0.135
18,Florida State,Jonathan,Isaac,32,32,26.2,20.3,120.5,93.2,0.622,0.568,46.1,34.8,7.7,25,15.3,0.075,0.025,0.062,0.135
19,Florida State,Xavier,Rathan-Mayes,35,35,27.7,20.3,110.5,103.9,0.532,0.52,39.5,41.9,2.6,10,5.9,0.288,0.019,0.004,0.158
20,Florida State,Brandon,Allen,14,0,6.1,19.9,124.7,105.6,0.639,0.625,6.3,71.9,1.3,6.2,3.6,0.082,0.013,0.025,0.084
21,Florida State,Braian,Angola-Rodas,34,0,11.8,18,121.4,102.3,0.59,0.543,35.7,43.5,3.2,11.8,7,0.171,0.021,0.011,0.119
22,Florida State,Michael,Ojo,35,34,12.2,17.9,123.9,99.4,0.648,0.564,71.3,0,14.9,14.4,13.4,0.027,0.013,0.075,0.169
23,Florida State,Trent,Forrest,35,0,15.4,17.3,108.1,96.8,0.534,0.477,55,6.2,6.7,12.6,8.9,0.163,0.045,0.01,0.179
24,Florida State,Jarquez,Smith,35,3,13.1,16.7,110.1,100,0.566,0.535,40,8.7,8.5,15.2,11,0.061,0.01,0.069,0.156
25,Florida State,Terance,Mann,35,34,25,15.2,122.1,102.3,0.62,0.593,44.9,11.6,8.6,11.5,9.3,0.109,0.022,0.007,0.15
26,Florida State,Christ,Koumadje,35,0,10.1,14.7,113.6,97.8,0.641,0.654,30.9,1.2,6.2,13.9,9.4,0.019,0.011,0.12,0.156
27,Florida State,Phil,Cofer,32,2,12.5,14.1,91.7,106.2,0.506,0.488,23.8,19,6.1,11,7.9,0.027,0.006,0.008,0.212
28,Louisville,Tyler,Sharpe,7,0,1.6,40.4,-,99.6,0.125,0.125,0,75,10,20.1,14,0.151,0,0,0.111
29,Louisville,Jay,Henderson,17,0,2.1,26.5,100,92.7,0.422,0.344,25,50,0,9.5,4.4,0.155,0.051,0,0.053
30,Louisville,Donovan,Mitchell,34,33,32.3,24.6,114.1,93.7,0.538,0.498,24.3,50.9,3.7,12.9,7.7,0.16,0.038,0.017,0.102
31,Louisville,Tony,Hicks,23,1,10,24.4,88.5,98,0.463,0.426,33.3,24.7,1,10.5,5.3,0.148,0.026,0.005,0.184
32,Louisville,Ryan,McMahon,28,0,6.3,21.4,111.7,99.6,0.537,0.492,23.3,86.7,1.3,7.5,4.1,0.166,0.02,0.013,0.131
33,Louisville,Quentin,Snider,28,28,31.3,21.4,113.6,103.2,0.515,0.478,27.2,49.8,2.8,6.7,4.4,0.233,0.012,0,0.111
34,Louisville,Deng,Adel,33,30,30.1,21,111.4,99.2,0.532,0.488,28.7,38,2.6,13.8,7.6,0.128,0.012,0.014,0.107
35,Louisville,V.J.,King,33,7,13.5,20.6,112.3,100.6,0.556,0.489,40.3,27.3,4.2,12.7,7.9,0.064,0.009,0.008,0.119
36,Louisville,Matz,Stockman,18,0,4.1,20.4,116.1,96.8,0.657,0.647,88.2,0,17.9,13.4,14.6,0.074,0.016,0.03,0.229
37,Louisville,Mangok,Mathiang,33,19,20.8,19.3,115.2,94,0.564,0.531,38.8,0,13.7,18.2,14.8,0.064,0.015,0.061,0.142
38,Louisville,Jaylen,Johnson,34,26,20.5,18.6,118.4,96.6,0.62,0.6,48.9,3.9,14.4,16.7,14.5,0.048,0.014,0.027,0.167
39,Louisville,Ray,Spalding,34,8,19.2,16,110.4,92.2,0.596,0.59,57.5,2.2,11,20.8,14.8,0.072,0.02,0.05,0.204
40,Louisville,Anas,Mahmoud,31,15,18.7,15.3,111.2,89.4,0.607,0.623,42.6,0,9.1,14.5,11,0.08,0.028,0.126,0.195
41,Louisville,David,Levitch,32,3,9.3,11.1,117.5,99.5,0.494,0.491,24.1,63,4.1,10.1,6.6,0.156,0.02,0,0.105
42,Notre Dame,Patrick,Mazza,4,0,1,39.3,-,88.7,0.5,0.5,0,0,0,28.5,13.4,0,0,0.262,0.333
43,Notre Dame,Matt,Gregory,5,0,1.2,34.9,-,115.1,0,0,0,100,0,0,0,0,0,0,0
44,Notre Dame,Bonzie,Colson,36,36,32.1,25.9,125.1,96.8,0.605,0.555,40.1,13.4,10.6,25.4,16.8,0.102,0.021,0.045,0.077
45,Notre Dame,Matt,Farrell,36,36,34.4,22,113,106.7,0.59,0.553,26.6,50.3,0.9,5.8,3.1,0.294,0.025,0.004,0.175
46,Notre Dame,V.J.,Beachem,36,36,34.2,21.9,107.6,104.7,0.549,0.52,16.5,54.4,2.2,11.4,6.4,0.048,0.016,0.032,0.078
47,Notre Dame,Matt,Ryan,36,0,7.9,21.3,116.4,107.3,0.633,0.616,10.1,83.8,2.5,10.4,6,0.093,0.013,0.004,0.112
48,Notre Dame,Steve,Vasturia,36,36,34.6,20,114.2,105.6,0.566,0.511,26.7,43.3,2.4,10.6,6.1,0.175,0.02,0.003,0.12
49,Notre Dame,Temple,Gibbs,36,1,15,18.5,108.1,104.4,0.519,0.438,43.4,39,2.6,8.7,5.3,0.197,0.029,0.004,0.147
50,Notre Dame,Martinas,Geben,34,23,12.4,12.5,127.5,100.4,0.684,0.646,46.2,0,11.8,19.8,14.6,0.103,0.019,0.027,0.22
51,Notre Dame,Rex,Pflueger,35,11,21.4,11.9,112.9,103.3,0.563,0.545,21.8,51.1,2.8,11.9,6.9,0.118,0.025,0.017,0.141
52,Notre Dame,Elijah,Burns,11,0,4,11.3,125.3,101.8,0.598,0.25,200,25,13.4,12.9,12.2,0.035,0.027,0.024,0.21
53,Notre Dame,John,Mooney,12,0,3.8,11.3,160.3,96.7,0.788,0.75,25,50,15.4,32.2,22.1,0.076,0.013,0.023,0.101
54,Notre Dame,Austin,Torres,36,1,7.3,11,108.9,102.3,0.523,0.553,47.4,0,10.4,13.5,11.1,0.045,0.021,0.032,0.164
55,Duke,Jayson,Tatum,29,27,33.3,26.1,110.1,97.2,0.573,0.507,38.1,32.1,4.9,19.7,11.8,0.124,0.023,0.032,0.151
56,Duke,Brennan,Besser,1,0,2,25.1,-,110.4,0,0,0,100,0,0,0,0,0,0,0
57,Duke,Grayson,Allen,34,25,29.6,25,115.1,104.3,0.576,0.508,44.5,62.2,2.7,11.3,6.7,0.215,0.015,0.002,0.148
58,Duke,Luke,Kennard,37,36,35.5,24,128.9,103.8,0.636,0.579,38.6,41.4,3.9,12.1,7.6,0.136,0.014,0.009,0.094
59,Duke,Frank,Jackson,36,16,24.9,21,117.6,105.9,0.605,0.564,36.3,45.9,3.1,8.2,5.4,0.126,0.013,0.002,0.131
60,Duke,Harry,Giles,26,6,11.5,17.9,114.6,96.1,0.576,0.577,30.8,0,16.4,21.5,17.8,0.056,0.017,0.053,0.169
61,Duke,Amile,Jefferson,35,35,29.7,16.9,125.1,96.9,0.635,0.613,60.1,0,9.7,22,15.1,0.093,0.013,0.059,0.14
62,Duke,Marques,Bolden,24,1,6.5,15.9,91.8,104.2,0.48,0.457,22.9,0,10.7,8.3,8.8,0.022,0.007,0.042,0.222
63,Duke,Antonio,Vrankovic,13,0,7.8,15.3,128.1,101.7,0.692,0.684,57.9,0,19,19.5,18,0.088,0,0.037,0.227
